Hours_Studied,Attendance,Parental_Involvement,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Gender,Exam_Score
23,84,Low,No,7,73,Low,Yes,0,Low,Medium,Public,3,Male,67
19,64,Low,No,8,59,Low,Yes,2,Medium,Medium,Public,4,Female,61
24,98,Medium,Yes,7,91,Medium,Yes,2,Medium,Medium,Public,4,Male,74
29,89,Low,Yes,8,98,Medium,Yes,1,Medium,Medium,Public,4,Male,71
19,92,Medium,Yes,6,65,Medium,Yes,3,Medium,High,Public,4,Female,70
19,88,Medium,Yes,8,89,Medium,Yes,3,Medium,Medium,Public,3,Male,71
29,84,Medium,Yes,7,68,Low,Yes,1,Low,Medium,Private,2,Male,67
25,78,Low,Yes,6,50,Medium,Yes,1,High,High,Public,2,Male,66
17,94,Medium,No,6,80,High,Yes,0,Medium,Low,Private,1,Male,69
23,98,Medium,Yes,8,71,Medium,Yes,0,High,High,Public,5,Male,72
17,80,Low,No,8,88,Medium,No,4,Medium,High,Private,4,Male,68
17,97,Medium,Yes,6,87,Low,Yes,2,Low,High,Private,2,Male,71
21,83,Medium,Yes,8,97,Low,Yes,2,Medium,Medium,Public,4,Male,70
9,82,Medium,Yes,8,72,Medium,Yes,2,Medium,Medium,Private,3,Male,66
10,78,Medium,Yes,8,74,Medium,Yes,1,Low,Medium,Private,4,Male,65
17,68,Medium,No,8,70,Medium,Yes,2,Medium,Medium,Private,4,Female,64
14,60,Medium,Yes,10,65,Low,Yes,0,High,Medium,Private,3,Male,60
22,70,Low,Yes,6,82,Medium,Yes,1,Low,High,Public,3,Female,65
15,80,Medium,Yes,9,91,Low,Yes,3,Low,Medium,Public,2,Female,67
12,75,Medium,Yes,7,58,Medium,Yes,3,Medium,Medium,Private,4,Male,66
29,78,Medium,No,5,99,High,Yes,0,High,Medium,Public,1,Female,69
19,99,Medium,No,6,84,Medium,Yes,1,Medium,High,Public,3,Male,72
20,74,Medium,No,8,89,Low,Yes,1,Medium,Medium,Public,2,Female,66
11,78,High,Yes,8,100,High,Yes,1,Low,Medium,Public,3,Male,66
17,65,Low,Yes,5,75,Medium,Yes,2,Low,Medium,Public,3,Female,63
21,62,High,Yes,6,54,High,Yes,0,High,High,Public,3,Male,64
13,91,Low,No,6,90,Medium,Yes,1,High,Medium,Public,2,Female,65
22,83,High,Yes,6,94,Medium,Yes,0,High,Medium,Public,2,Male,71
16,90,Medium,No,4,58,Medium,Yes,1,Low,Medium,Public,3,Female,66
18,66,High,No,4,51,Low,Yes,2,Low,Medium,Private,2,Male,64
16,83,Low,No,6,57,Medium,Yes,0,High,Low,Public,4,Female,63
31,70,Medium,Yes,7,66,Medium,Yes,1,High,Medium,Public,3,Male,69
20,69,Medium,Yes,8,96,Medium,Yes,2,Medium,High,Public,3,Male,67
14,60,High,No,5,50,Medium,Yes,2,Medium,Medium,Public,3,Female,61
